periode_data,wilayah,kecamatan,nama_lokasi,latitude,longitude,periode_pemantauan,parameter,baku_mutu,nilai
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)",Kekeruhan,3,13.5
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)",Warna,10,15
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)",pH,N/A,7.695
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Nitrat (sebagai NO3) (terlarut)",20,0.9
2024,"Kab. Adm. Kep. Seribu","Kepulauan Seribu Selatan","Pulau Untung Jawa",-5.9787208,106.7085404,"Periode 2 (Musim Kering)","Nitrit (sebagai NO2) (terlarut)",3,0.07
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Besi (Fe) (terlarut)",0.2,0.76
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Mangan (Mn) terlarut",0.1,0.56
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)",Salinitas,N/A,0.065
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Oksigen terlarut (DO)",4,3.55
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)","Daya Hantar Listrik",N/A,1415
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)",ORP*,N/A,-26
2024,"Kota Adm. Jakarta Barat",Tambora,"Roa Malaka",-6.1325,106.8075,"Periode 2 (Musim Kering)",Deterjen,0.05,0.09
