periode_data,wilayah,kecamatan,nama_lokasi,latitude,longitude,periode_pemantauan,parameter,baku_mutu,nilai
2024,"Kota Adm. Jakarta Selatan",Setiabudi,Setiabudi,-6.208972222,106.8239722,"Periode 2 (Musim Kering)",Timbal,N/A,0.01
2024,"Kota Adm. Jakarta Selatan",Setiabudi,Setiabudi,-6.208972222,106.8239722,"Periode 2 (Musim Kering)",IP,N/A,2.1
2024,"Kota Adm. Jakarta Selatan",Setiabudi,Setiabudi,-6.208972222,106.8239722,"Periode 2 (Musim Kering)",Status,N/A,ringan
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Total Coliform",0,400
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Temperatur,N/A,29.1
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Total Dissolve Solid",300,167
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Kekeruhan,3,0.26
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",Warna,10,2
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)",pH,N/A,6.37
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Nitrat (sebagai NO3) (terlarut)",20,14.4
2024,"Kota Adm. Jakarta Utara",Pademangan,"Pademangan Barat",-6.133155,106.841209,"Periode 1 (Musim Hujan)","Nitrit (sebagai NO2) (terlarut)",3,0.087
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Timur",Cipayung,Setu,-6.309166667,106.9147222,"Periode 2 (Musim Kering)","Besi (Fe) (terlarut)",0.2,0.13
